Year,Sport,Event,Medal,Country
2008,Softball,Softball Women's Softball,Gold,Japan
1996,Judo,Judo Women's Half-Middleweight,Gold,Japan
1976,Judo,Judo Men's Heavyweight,Bronze,Japan
1964,Gymnastics,Gymnastics Men's Individual All-Around,Gold,Japan
1964,Gymnastics,Gymnastics Men's Team All-Around,Gold,Japan
1964,Gymnastics,Gymnastics Men's Floor Exercise,Silver,Japan
1964,Gymnastics,Gymnastics Men's Parallel Bars,Gold,Japan
1968,Gymnastics,Gymnastics Men's Team All-Around,Gold,Japan
1968,Gymnastics,Gymnastics Men's Horse Vault,Silver,Japan
1984,Wrestling,"Wrestling Men's Bantamweight, Greco-Roman",Silver,Japan
2012,Badminton,Badminton Women's Doubles,Silver,Japan
1996,Synchronized Swimming,Synchronized Swimming Women's Team,Bronze,Japan
2008,Swimming,Swimming Men's 4 x 100 metres Medley Relay,Bronze,Japan
2012,Swimming,Swimming Men's 4 x 100 metres Medley Relay,Silver,Japan
2004,Synchronized Swimming,Synchronized Swimming Women's Team,Silver,Japan
1968,Wrestling,"Wrestling Men's Featherweight, Greco-Roman",Silver,Japan
1976,Gymnastics,Gymnastics Men's Team All-Around,Gold,Japan
1960,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,Silver,Japan
1964,Volleyball,Volleyball Women's Volleyball,Gold,Japan
1936,Art Competitions,"Art Competitions Mixed Painting, Paintings",Bronze,Japan
1972,Volleyball,Volleyball Men's Volleyball,Gold,Japan
1996,Baseball,Baseball Men's Baseball,Silver,Japan
2012,Table Tennis,Table Tennis Women's Team,Silver,Japan
2016,Table Tennis,Table Tennis Women's Team,Bronze,Japan
1964,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,Bronze,Japan
1968,Volleyball,Volleyball Women's Volleyball,Silver,Japan
1972,Volleyball,Volleyball Women's Volleyball,Silver,Japan
1956,Swimming,Swimming Men's 200 metres Breaststroke,Gold,Japan
2012,Archery,Archery Men's Individual,Silver,Japan
2004,Cycling,Cycling Men's Team Sprint,Silver,Japan
1952,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,Silver,Japan
1984,Gymnastics,Gymnastics Men's Individual All-Around,Gold,Japan
1984,Gymnastics,Gymnastics Men's Team All-Around,Bronze,Japan
1984,Gymnastics,Gymnastics Men's Horse Vault,Silver,Japan
1984,Gymnastics,Gymnastics Men's Horizontal Bar,Bronze,Japan
1984,Gymnastics,Gymnastics Men's Rings,Gold,Japan
2016,Judo,Judo Men's Half-Heavyweight,Bronze,Japan
2012,Swimming,Swimming Men's 400 metres Individual Medley,Bronze,Japan
2016,Swimming,Swimming Men's 200 metres Individual Medley,Silver,Japan
2016,Swimming,Swimming Men's 400 metres Individual Medley,Gold,Japan
2016,Synchronized Swimming,Synchronized Swimming Women's Team,Bronze,Japan
1932,Hockey,Hockey Men's Hockey,Silver,Japan
2004,Wrestling,"Wrestling Women's Heavyweight, Freestyle",Bronze,Japan
2008,Wrestling,"Wrestling Women's Heavyweight, Freestyle",Bronze,Japan
1936,Swimming,Swimming Men's 200 metres Breaststroke,Gold,Japan
1964,Wrestling,"Wrestling Men's Flyweight, Greco-Roman",Gold,Japan
2016,Canoeing,"Canoeing Men's Canadian Singles, Slalom",Bronze,Japan
1936,Athletics,Athletics Men's Triple Jump,Silver,Japan
2008,Synchronized Swimming,Synchronized Swimming Women's Duet,Bronze,Japan
2016,Judo,Judo Men's Heavyweight,Silver,Japan
1988,Shooting,"Shooting Women's Sporting Pistol, 25 metres",Silver,Japan
1952,Swimming,"Swimming Men's 1,500 metres Freestyle",Silver,Japan
2012,Archery,Archery Women's Team,Bronze,Japan
1964,Gymnastics,Gymnastics Men's Rings,Gold,Japan
2016,Wrestling,"Wrestling Men's Featherweight, Freestyle",Silver,Japan
1976,Weightlifting,Weightlifting Men's Featherweight,Bronze,Japan
1960,Swimming,Swimming Men's 4 x 100 metres Medley Relay,Bronze,Japan
2012,Judo,Judo Men's Extra-Lightweight,Silver,Japan
1972,Wrestling,"Wrestling Men's Flyweight, Greco-Roman",Silver,Japan
1976,Wrestling,"Wrestling Men's Flyweight, Greco-Roman",Bronze,Japan
1928,Athletics,Athletics Women's 800 metres,Silver,Japan
1964,Wrestling,"Wrestling Men's Lightweight, Freestyle",Bronze,Japan
2012,Swimming,Swimming Women's 200 metres Butterfly,Bronze,Japan
2016,Swimming,Swimming Women's 200 metres Butterfly,Bronze,Japan
1984,Judo,Judo Men's Extra-Lightweight,Gold,Japan
1988,Judo,Judo Men's Extra-Lightweight,Bronze,Japan
1964,Wrestling,"Wrestling Men's Bantamweight, Greco-Roman",Gold,Japan
1964,Weightlifting,Weightlifting Men's Bantamweight,Bronze,Japan
2004,Wrestling,"Wrestling Women's Flyweight, Freestyle",Silver,Japan
2008,Wrestling,"Wrestling Women's Flyweight, Freestyle",Silver,Japan
2004,Wrestling,"Wrestling Women's Middleweight, Freestyle",Gold,Japan
2008,Wrestling,"Wrestling Women's Middleweight, Freestyle",Gold,Japan
2012,Wrestling,"Wrestling Women's Middleweight, Freestyle",Gold,Japan
2016,Wrestling,"Wrestling Women's Lightweight, Freestyle",Gold,Japan
1956,Wrestling,"Wrestling Men's Welterweight, Freestyle",Gold,Japan
1988,Gymnastics,Gymnastics Men's Team All-Around,Bronze,Japan
1988,Gymnastics,Gymnastics Men's Floor Exercise,Bronze,Japan
1992,Gymnastics,Gymnastics Men's Floor Exercise,Silver,Japan
1964,Judo,Judo Men's Heavyweight,Gold,Japan
2004,Wrestling,"Wrestling Men's Lightweight, Freestyle",Bronze,Japan
2000,Judo,Judo Men's Half-Heavyweight,Gold,Japan
2016,Synchronized Swimming,Synchronized Swimming Women's Duet,Bronze,Japan
2012,Swimming,Swimming Men's 100 metres Backstroke,Bronze,Japan
2012,Swimming,Swimming Men's 200 metres Backstroke,Silver,Japan
1984,Wrestling,"Wrestling Men's Light-Flyweight, Freestyle",Silver,Japan
1932,Swimming,Swimming Men's 100 metres Backstroke,Silver,Japan
1984,Weightlifting,Weightlifting Men's Light-Heavyweight,Bronze,Japan
2008,Judo,Judo Men's Heavyweight,Gold,Japan
1952,Wrestling,"Wrestling Men's Bantamweight, Freestyle",Gold,Japan
1956,Swimming,Swimming Men's 200 metres Butterfly,Silver,Japan
2004,Softball,Softball Women's Softball,Bronze,Japan
1992,Baseball,Baseball Men's Baseball,Bronze,Japan
1992,Swimming,Swimming Women's 200 metres Breaststroke,Gold,Japan
2004,Judo,Judo Men's Middleweight,Silver,Japan
1996,Cycling,"Cycling Men's 1,000 metres Time Trial",Bronze,Japan
1984,Gymnastics,Gymnastics Men's Parallel Bars,Silver,Japan
1976,Gymnastics,Gymnastics Men's Horse Vault,Bronze,Japan
1984,Shooting,"Shooting Men's Rapid-Fire Pistol, 25 metres",Gold,Japan
1968,Football,Football Men's Football,Bronze,Japan
1964,Judo,Judo Men's Open Class,Silver,Japan
1968,Wrestling,"Wrestling Men's Featherweight, Freestyle",Gold,Japan
2016,Swimming,Swimming Women's 200 metres Breaststroke,Gold,Japan
1956,Wrestling,"Wrestling Men's Lightweight, Freestyle",Silver,Japan
1972,Gymnastics,Gymnastics Men's Team All-Around,Gold,Japan
1972,Gymnastics,Gymnastics Men's Floor Exercise,Bronze,Japan
1972,Gymnastics,Gymnastics Men's Parallel Bars,Silver,Japan
1972,Gymnastics,Gymnastics Men's Horizontal Bar,Bronze,Japan
2004,Gymnastics,Gymnastics Men's Team All-Around,Gold,Japan
2004,Gymnastics,Gymnastics Men's Pommelled Horse,Bronze,Japan
2008,Gymnastics,Gymnastics Men's Team All-Around,Silver,Japan
1920,Tennis,Tennis Men's Doubles,Silver,Japan
1972,Wrestling,"Wrestling Men's Flyweight, Freestyle",Gold,Japan
2012,Gymnastics,Gymnastics Men's Team All-Around,Silver,Japan
2016,Gymnastics,Gymnastics Men's Team All-Around,Gold,Japan
1968,Gymnastics,Gymnastics Men's Individual All-Around,Gold,Japan
1968,Gymnastics,Gymnastics Men's Floor Exercise,Gold,Japan
1968,Gymnastics,Gymnastics Men's Rings,Bronze,Japan
1972,Gymnastics,Gymnastics Men's Individual All-Around,Gold,Japan
1972,Gymnastics,Gymnastics Men's Parallel Bars,Gold,Japan
1972,Gymnastics,Gymnastics Men's Horizontal Bar,Silver,Japan
1972,Gymnastics,Gymnastics Men's Pommelled Horse,Silver,Japan
1976,Gymnastics,Gymnastics Men's Individual All-Around,Silver,Japan
